City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,Saint Anthony,45.02,-93.22,81.0,42,1,11.41,US,1594576578
334,Camacupa,-12.02,17.48,64.56,27,0,3.8,AO,1594577255
335,Mpika,-11.83,31.45,62.19,56,4,4.07,ZM,1594577255
336,Yilan,24.76,121.75,86.0,74,20,4.7,TW,1594577255
337,Maumere,-8.62,122.21,78.39,70,77,2.91,ID,1594577255
338,Luanda,-8.84,13.23,73.4,73,75,6.93,AO,1594577207
339,Ridgecrest,35.62,-117.67,102.99,11,1,4.7,US,1594577042
340,Le Mars,42.79,-96.17,81.0,54,1,3.65,US,1594577255
341,Maputo,-25.97,32.59,66.2,59,2,4.7,MZ,1594576964
342,Kashirskoye,51.42,39.61,77.0,38,0,4.47,RU,1594577255
343,Havøysund,71.0,24.66,55.4,62,20,11.41,NO,1594577256
344,Yangi Marg`ilon,40.43,71.72,80.6,42,100,2.24,UZ,1594576830
345,Turbat,26.0,63.04,82.96,75,13,6.29,PK,1594576789
346,Yantongshan,43.29,126.01,65.35,81,100,2.26,CN,1594577256
347,Verkhnyaya Toyma,62.23,45.0,59.49,77,48,3.94,RU,1594577256
348,El Campo,29.2,-96.27,91.0,58,75,3.18,US,1594576995
349,Oistins,13.07,-59.53,80.6,88,90,18.34,BB,1594577188
350,Ucluelet,48.93,-125.55,61.0,93,75,5.82,CA,1594577043
351,San Quintín,30.48,-115.95,77.7,57,0,11.52,MX,1594576784
352,Durrës,41.32,19.44,78.8,69,0,3.36,AL,1594577256
353,Sørland,67.67,12.69,53.6,76,40,8.05,NO,1594577256
354,Katangli,51.71,143.23,45.88,97,6,2.24,RU,1594577256
355,Brae,60.4,-1.35,55.4,82,75,9.17,GB,1594577256
356,Susanville,40.42,-120.65,84.0,14,1,5.82,US,1594577256
357,Kloulklubed,7.04,134.26,77.0,94,75,3.36,PW,1594576610
358,Benghazi,32.12,20.07,77.59,74,0,14.7,LY,1594577165
359,Charters Towers,-20.1,146.27,57.34,37,40,11.36,AU,1594577256
360,Sovetskiy,61.36,63.58,72.72,55,46,10.56,RU,1594577256
361,Rawlins,41.79,-107.24,88.0,11,1,13.87,US,1594577256
362,Samarai,-10.62,150.67,78.04,88,80,19.69,PG,1594576861
363,Northam,51.03,-4.22,66.0,74,95,8.01,GB,1594576826
364,Kozan,37.46,35.82,82.4,83,40,9.17,TR,1594577257
365,Belmonte,-15.86,-38.88,73.4,88,75,5.82,BR,1594577257
366,Bathsheba,13.22,-59.52,80.6,88,90,18.34,BB,1594576886
